Nzale Verified
Matokeo NOUN
ya ADJ
uamuzi NOUN
hayana AUX
uhakika NOUN
, PUNCT
lakini CCONJ
akipatikana VERB
na PART
makosa NOUN
, PUNCT
Baraza NOUN
la ADJ
Seneti NOUN
katika ADP
raundi NOUN
ya ADJ
pili ADJ
ya ADJ
kura NOUN
inahitaji VERB
wingi NOUN
wa ADJ
kura NOUN
kidogo ADJ
tu ADV
kumpiga NOUN
marufuku NOUN
kuongoza NOUN
ofisi NOUN
ya ADJ
serikali NOUN
maisha NOUN
yake ADJ
yote ADJ
. PUNCT

Baraza NOUN
la ADJ
Wawakilishi NOUN
, PUNCT
bila ADP
ya ADP
kura NOUN
ya ADJ
Warepublikan NOUN
, PUNCT
walimfungulia VERB
mashtaka NOUN
Trump PROPN
mwisho ADV
wa ADV
mwaka ADV
2019 NUM
kwa ADP
kuitaka NOUN
Ukraine PROPN
kumchunguza NOUN
Biden PROPN
makosa ADJ
yake ADJ
kabla ADP
ya ADP
uchaguzi NOUN
wa ADJ
Novemba NOUN
. PUNCT

Trump PROPN
alikutwa VERB
bila ADP
hatia NOUN
Februari ADV
baada ADP
ya ADP
siku NOUN
20 NUM
za ADJ
kesi NOUN
iliyoendeshwa VERB
na ADP
Baraza NOUN
la ADJ
Seneti NOUN
. PUNCT

Juhudi NOUN
za ADJ
kumwajibisha NOUN
Rais NOUN
Donald PROPN
Trump PROPN
kutokana SCONJ
na SCONJ
kuhusika NOUN
kwake ADJ
na ADP
uchochezi NOUN
wa ADJ
kulishawishi NOUN
genge NOUN
lililovamia VERB
Bunge NOUN
la ADJ
Marekani PROPN
Jumatano ADV
zimeshika VERB
kasi ADV
siku ADV
ya ADV
Jumamosi ADV
, PUNCT
ambapo SCONJ
wabunge NOUN
wa ADJ
chama NOUN
cha ADJ
Democratic PROPN
katika ADP
Baraza NOUN
la ADJ
Wawakilishi NOUN
la ADJ
Marekani PROPN
wakitangaza VERB
watapendekeza VERB
vifungu NOUN
vya ADJ
kumuondoa NOUN
madarakani NOUN
mapema ADJ
ifikapo VERB
Jumatatu ADV
. PUNCT

Mwakilishi NOUN
, PUNCT
Mdemokrat ADJ
kutoka ADP
jimbo NOUN
la ADP
California PROPN
, PUNCT
aliyesaidia VERB
kuandaa NOUN
rasimu NOUN
ya ADJ
mashtaka NOUN
dhidi SCONJ
ya SCONJ
Trump PROPN
, PUNCT
alituma VERB
ujumbe NOUN
wa ADJ
Twitter PROPN
Jumamosi ADV
mchana ADV
kuwa SCONJ
vifungu NOUN
vya ADJ
kumfungulia NOUN
mashtaka NOUN
Trump PROPN
vimeungwa VERB
mkono NOUN
na ADP
wawakilishi NOUN
180 NUM
, PUNCT
japokuwa SCONJ
hakuna DET
Mrepublikan NOUN
aliyeshiriki VERB
. PUNCT

Spika NOUN
wa ADJ
Baraza NOUN
la ADJ
Wawakilishi NOUN
Nancy PROPN
Pelosi PROPN
na CCONJ
wenzake NOUN
wanahamu VERB
kuona NOUN
rais NOUN
