ID_FILE	CATEGORY	SENTENCE_NO	SENTENCE
SET1/1595017641-199	POLITICS	0	 Zipani za moyo zionekeCMD Kodi zipani zinazi zili moyo? Nthawi yofukula yakwana mzipani pamene bungwe loona mgwirizano wa zipani zosiyanasiyana la Centre for Multiparty Democracy (CMD) lalengeza zokumana ndi akuluakulu a zipani.
SET1/1595017641-199	POLITICS	1	  Pa Wenela pasintha zedi  ANatchereza  Tidakumana ku sukulu ku Chiradzulu Bungweli laitana zipani 41 zomwe zidalembetsedwa koma zilibe aphungu mNyumba ya Malamulo.
SET1/1595017641-199	POLITICS	2	 CMD ikuchita izi kutsatira kudutsa kwa bilo yokamba za kayendetsedwe ka zipani imene mwa zina ikuti zipani zimene sizikuoneka zichotsedwe mkaundula pakatha miyezi 12.
SET1/1595017641-199	POLITICS	3	 Tenthani: Tiwaimbira Kalata yomwe CMD yatulutsa ikuti eni zipanizo atumize ku bungwelo maina a mtsogoleri wawo ndi mlembiatumizenso nambala, madera amene akukhala.
SET1/1595017641-199	POLITICS	4	 Mkulu wa bungwelo, Kizito Tenthani adati zipanizo zikatumiza maina ndi manambalawo adzawaimbira kuti akumane nawo kuti awafotokozere zomwe zili mbiloyo.
SET1/1595017641-199	POLITICS	5	 Iye adati: Ngati satiyankha mwina zisonyeza kuti kulibe munthu. Pakatha miyezi 12 ndiye kuti zisonyeza kuti chipanicho chazimirirakusonyeza kuti osindikiza zipani atha kuchifufuta.
SET1/1595017641-199	POLITICS	6	 Mwa zipani zomwe zaitanidwa ndi cha The Malawi Democratic (MDP) chomwe mwa ena amene adachiyambitsa ndi Kamlepo Kalua yemwe lero ali ku PP.
SET1/1595017641-199	POLITICS	7	 Chipani china ndi cha Malavi Peoples Party (MPP) chomwe adayambitsa ndi Uladi Mussa amene akungoyendayenda. Adali ku UDF asadasinthe golo kupita ku DPP. Madzi atachitako katondo adalumphamo kugwera mu PP, lero wasinthanso golo kubwerera ku DPP.
SET1/1595017641-199	POLITICS	8	 Titamuimbira foni ngati alembere bungweli monga iye mtsogoleri, Mussa adayankha modabwa. Malavi ndiye chiyani? adafunsa. Aaa! Nanga ine mesa ndidachokako, ndidali ku PP pano ndili ku DPP. Inuyo mungopitako mukaone atsogoleri amene apitawo osati muzindifunsa ine, adatero.
SET1/1595017641-199	POLITICS	9	 Koma Tenthani ali ndi chikhulupiriro kuti zipanizi ziwalembera. Ine ndi mkulu wa CMD, nditachoka lero sizikutanthauza kuti CMD yatha, atsogoleri otsalawo ndiwo angayankhepo ngati atafunidwa. Titsimikiza kuti mzipanizo mudatsala ena amene atilembere, adatero.
SET1/1595017641-199	POLITICS	10	 Mndandanda wa zipanizi ndi womwe udalembetsedwa mdziko muno kuti ndi zipani zokhazikika. Zina mwa zipani zoitanidwazo zidamveka pachisankho cha 1994 osamvekanso. Izi ndi monga cha Congress for the Second Republic cha Kanyama Chiume, Malawi Democratic Union cha Amunandife Mkumba, United Front for Multiparty Democracy, Malawi National Democratic Party ndi zina zotero.
SET1/1595017641-199	POLITICS	11	 Dziko lino lili ndi zipani zoposera 50.
SET1/1595017963-248	SOCIAL ISSUES	0	 Ulalo adali venda wa masiketi Makolo polangiza amati ukadekha, umawona maso a nkhono ndipo mwambi womwewu ansembe amati ukafuna kuvala kolona, ukuyenera kusunga khosi.
SET1/1595017963-248	SOCIAL ISSUES	1	 Miyambiyi siyapafupi kwa anthu ambiri kuyitsata koma umboni wake ulipo wa nkhaninkhani pakuti kwa iwo omwe adadekha nkusunga makosi, pano  Pa Wenela pasintha zedi  ANatchereza  Tidakumana ku sukulu ku Chiradzulu amadziwa momwe maso a nkhono alili ndipo kolona ali mkhosi.
SET1/1595017963-248	SOCIAL ISSUES	2	 Edward ndi Maggie tsiku la ukwati wawo Apa pali umboni wa Edward Bannet Gangile wa kwa T/A Chiwere ku Dowa ndi Maggie Failo wa kwa T/A Malengachanzi ku Nkhotakota omwe ngakhale adakondana atangoonana koyamba, iwo adadekherana asadapalane ubwenzi.
SET1/1595017963-248	SOCIAL ISSUES	3	 Nthawiyo, mchaka cha 2013, Gangile adali wowerengera za chuma ku chipatala cha mishoni cha Nkhoma ndipo akuti chipatalachi chimakonda kugula katundu monga mapepala ndi zolembera kushopu ya Maggie yomwe idali ku Area 3 mumzinda wa Lilongwe.
SET1/1595017963-248	SOCIAL ISSUES	4	 Nthawiyo ndimayesetsa kumuthandiza mwachangu ndi mwansangala.
SET1/1595017963-248	SOCIAL ISSUES	5	 Timapatsana moni ndi kucheza nkhani zingapo koma ndimalephera kumuuza za kukhosi. Adandisangalatsa kwambiri ndi nsangala zomwe amandirandira nazo, adatero Gangile.
SET1/1595017963-248	SOCIAL ISSUES	6	 Iye adati mpata udapezeka tsiku ali mushopumo ndipo mudabwera venda ogulitsa masiketi omwe adasangalatsa Maggie ndipo mwa izi, namwaliyo adamufunsa ngati angamugulireko mkazi wake.
SET1/1595017963-248	SOCIAL ISSUES	7	 Ndimathokoza Mulungu kuti ndidaganiza msanga chifukwa ndidangoyankha kuti ndidzamugulira ndikadzamupeza ndipo yankholi lidamupangitsa kundifunsa mafunso ambiri pa zamoyo wanga kuphatikizapo kukayika kuti mwina ndimamunamiza, adatero Gangile.
SET1/1595017963-248	SOCIAL ISSUES	8	 Iye adati ichi chidali chiyambi cha awiriwa kufufuzana ndikudziwana bwinobwino mpaka adavomerezana kuti onse amadikirana kutanthauza kuti aliyense mwa iwo adadekha kapena kusunga khosi.
SET1/1595017963-248	SOCIAL ISSUES	9	 Iye adati awiriwa adakhala miyezi ubwenzi usadayambe kwenikweni kuchoka panthawiyo ndipo zonse zitalongosoka, adapanga chinkhoswe pa 15 April, 2015 ku Area 47 kwa azakhali a Maggie ndipo ukwati udachitikira ku Lilongwe Golf Club pa 12 July, 2015.
SET1/1595017928-242	ECONOMY	0	 Chotsani chiletso chogulitsa chimanga kunjaMCCCI Bungwe loona za malonda ndi mafakitale la Malawi Confederation of Chambers of Commerce and Industry (MCCCI) lapempha boma kuti lichotse chiletso chogulitsa chimanga kunja.
SET1/1595017928-242	ECONOMY	1	  Pa Wenela pasintha zedi  ANatchereza  Tidakumana ku sukulu ku Chiradzulu Pulezidenti wa bungwelo Karl Chokotho adapereka pempholi Lachinayi potsegulira chionetsero cha malonda ku Gateway Mall mumzinda wa Lilongwe.
SET1/1595017928-242	ECONOMY	2	 Iye adati chiletsochi chikupsinja kwambiri alimi angonoangono chifukwa omwe akukakamizidwa kugulitsa chimanga chawo mdziko mommuno pa mitengo yotsika poyerekeza ndi mitengo yomwe maiko ena akugulira.
SET1/1595017928-242	ECONOMY	3	 Chokotho: Alimi akadapha makwacha Pa Tanzania pomwepa, chimanga chikugulidwa pamtengo okwera mwina kuposa katatu mtengo wa boma la Malawi ndiye alimi akadaloledwa kuti azigulitsa chimanga chawo mmisika ngati imeneyi, akadapha makwacha, adatero Chokotho.
SET1/1595017928-242	ECONOMY	4	 Iye adati akudziwa kuti dziko la Malawi likuyenera kugula ndi kusunga chimanga kupangira zogwa chaka cha mawa zomwe sizikudziwika koma adati vuto lomwe lilipo ndi loti bungwe la Admarc lomwe limagulako bwino silikugulanso chimangachi.
SET1/1595017928-242	ECONOMY	5	 Boma litakhazikitsa mitengo, alimi adali ndi chiyembekezo kuti mwina apindula pogulitsa ku Admarc koma nzosabisa kuti Admarc siyikugula chimanga moti alimi akungobwerera nacho mapeto ake mavenda akupezerapo danga, adatero Chokotho.
SET1/1595017928-242	ECONOMY	6	 Nduna ya za ntchito, achinyamata, masewero ndi kuphunzitsa anthu ntchito, Francis Kasaila, yemwe adali mlendo wolemekezeka pa mwambowo, adati mpofunika kuzama ndi kukambirana bwinobwino chiletsochi chisadachotsedwe.
SET1/1595017928-242	ECONOMY	7	 Ndunayo idati alimi ambiri angonoangono amadalira pologalamu ya boma ya sabuside paulimi pomwe omwe amagulitsa chimanga kunja ndi mavenda zomwe zikutanthauza kuti kuchotsa chiletsochi ndiye kuti mavenda ndiwo apindule pa sabuside ya boma.
SET1/1595017928-242	ECONOMY	8	 Vuto lalikulu ndi loti omwe amagulitsa chimanga kunja ndi mavenda omwe amagula kwa alimi pamitengo yolira ndiye zikutanthauza kuti olo titachotsa chiletsochi, alimiwo sathandizika ayi agulidwabe pa mtengo olirawo ndipo mavenda ndiwo apindule, adatero Kasaila.
SET1/1595017551-186	SOCIAL ISSUES	0	 Osauka alibe mawu  Pa Wenela pasintha zedi  ANatchereza  Tidakumana ku sukulu ku Chiradzulu Kwa zaka 12, ena mwa omwe akuwaganizira milandu yakupha akadali pa alimandi mndende podikira chilungamo pa milandu yoganiziridwa kuti adapha anzawo. Milanduyi, ikumatenga nthawi kuti iweruzidwe.
SET1/1595017551-186	SOCIAL ISSUES	1	 Izi zikusemphana ndi gawo 161 la malamulo okhudza milandu ikuluikulu lomwe limati munthu azengedwe mlandu pasanathe miyezi iwiri ndipo ngati zavutitsitsa isadutse itatu.
SET1/1595017551-186	SOCIAL ISSUES	2	 Komatu zodabwitsa nzoti anthu ambiri omwe akungokhala mndendewa asadaweruzidwe, alibe ndalama ndipo sangafikire owaimilira. Choncho amakhala akudikira ndondomeko ya boma pomwe anthu a ndalama zawo akapalamula, milandu yawo imayenda mwachangu chifukwa amapeza owaimira.
SET1/1595017551-186	SOCIAL ISSUES	3	 Mwachitsanzo, polisi ya Ntcheu chaka chathachi, idatumiza anthu 22 kundende ya Ntcheu, ndipo onsewa, palibe ngakhale mmodzi amene adakalowa bwalo la milandu.
SET1/1595017551-186	SOCIAL ISSUES	4	 Moyo wa kundende ndi wovuta Izi zingotanthauza kuti milanduyo yakumana ndi ya chaka chino.
SET1/1595017551-186	SOCIAL ISSUES	5	 Izi zikukhumudwitsa omenyera ufulu wa anthu mdziko muno.
SET1/1595017551-186	SOCIAL ISSUES	6	 Mkulu wa limodzi mwa mabungwewa la Centre for Human Rights Education, Advice and Assistance (Chreaa), Victor Mhango, adati ndende za dziko lino zikusungira anthu oposa 1 000 pa limandi pa milandu yoganiziridwa kupha.
SET1/1595017551-186	SOCIAL ISSUES	7	 Mhango adati milandu ya mtunduwu imaweruzidwa ndi bwalo lalikulu lomwe lili ndi oweruza ochepa.
SET1/1595017551-186	SOCIAL ISSUES	8	 Milanduyi imakhala yokwera mtengo chifukwa oweruzawa ndi omwe amayendera kuboma la opalamula mlandu. Tsopano ndi kapezedwe ka chuma, zikumavuta kuti aziyenda pafupipafupi kumakaweruza milandu ya mtunduwu, adatero Mhango.
SET1/1595017551-186	SOCIAL ISSUES	9	 Iye adati anthu omwe amapeza okha owaimira pa milandu sakhalitsa mndendemu chifukwa owaimirirawa amathamanga kuwapezera belo kuti zawo ziyere mwachangu.
SET1/1595017551-186	SOCIAL ISSUES	10	 Vuto lagona pa anthu omwe sangakwanitse kupeza owaimilira ndipo amadalira aulere ochokera nthambi ya boma ya Legal Aid. Anthuwa amaiwalika ndipo amatha zaka zambiri ali mndende, adalongosola Mhango.
SET1/1595017551-186	SOCIAL ISSUES	11	 Iye adati a nthambiyi alibe owaimira pa milandu ambiri zomwe zimachedwetsanso milandu.
SET1/1595017551-186	SOCIAL ISSUES	12	 Kuchokera chaka cha 2014 mpaka 2016 bungwe la Malawi Human Rights Commission (MHRC) lidatsogolera ntchito yothandiza kuti milandu ina iunikidwenso. Ntchitoyi yomwe inkatchedwa Kafantayeni, idathandiza kuunika milandu ya omwe adapha anzawo 154.
SET1/1595017551-186	SOCIAL ISSUES	13	 Malinga ndi yemwe ankatsogolera ntchitoyi Peter Chisi, milandu 161 ndi yomwe inkafunika kuunikidwa.
SET1/1595017551-186	SOCIAL ISSUES	14	 Iye adati ntchitoyi inkalunjika kwa okhawo omwe adapatsidwa chilango chonyongedwa atapezeka olakwa popha anzawo malamulo adziko lino asadasinthe.
SET1/1595017551-186	SOCIAL ISSUES	15	 Ndi ntchitoyi, anthu 131 adatuluka chifukwa adali atasewenza kale zaka zokwanira ndi chilango chomwe adapatsidwa. Ndipo tidapezanso kuti anthu atatu samayenera kumangidwa, adatero iye.
SET1/1595017551-186	SOCIAL ISSUES	16	 Iye adaonjezeranso kuti bungwe lake lili ndi chiganizo chopanga kafukufuku woti apeze kuti ndi anthu angati omwe akukhala mndende pokhudzana ndi milandu yopha anzawo koma asadaloweko kubwalo la milandu.
SET1/1595017551-186	SOCIAL ISSUES	17	 Pakufunika kuti papezeke dongosolo loti milanduyi iziyenda mwachangu chifukwa palibe chilungamo kwa olakwa ndi olakwiridwa, adatero Chisi.
SET1/1595017551-186	SOCIAL ISSUES	18	 Mkulu wa Legal Aid Department, Masauko Chamkakala adavomereza za mavutowa.
SET1/1595017551-186	SOCIAL ISSUES	19	 Anthuwa akukhalitsadi milandu yawo isadaweruzidwe. Koma kumbali yathu tikuyesetsa kuti zinthu zisinthe, adalongosola Chamkakala.
SET1/1595017551-186	SOCIAL ISSUES	20	 Chamkakala adati ambiri mwa anthu omwe ali pa limandi, ma failo awo akadali kupolisi.
SET1/1595017551-186	SOCIAL ISSUES	21	 Koma Chamkakala adati zinthu zisintha kutsogoloku chifukwa pakhala ntchito yomwe igwiridwe ndi thandizo la bungwe la European Union, yoika mafoni aulere mndende komanso polisi kuti anthu omangidwawa aziwadziwitsa okha a nthambiyi za milandu yawo.
SET1/1595017551-186	SOCIAL ISSUES	22	 Iye adati ntchitoyi idzayamba yoyeserera isanafalikire ndipo adatinso akupempha boma kuti awonjezere ogwira ntchito chifukwa alipo ochepa.
SET1/1595017551-186	SOCIAL ISSUES	23	 Mwachitsanzo, ku chigawo chonse cha mmawa kuli munthu mmodzi basi, yemwe amayendera maboma a Machinga, Zomba, Machinga ndi Balaka, adatero Chamkakala.
SET1/1595017551-186	SOCIAL ISSUES	24	 Pachifukwachi, Chamkakala adati bungwe lake lilowa mgwirizano ndi anthu komanso mabungwe omwe ali ndi kuthekera koimira anthu pa milandu monga sukulu ya ukachenjede ya Chancellor College ndi bungwe la Law Society mwa ena.
SET1/1595017551-186	SOCIAL ISSUES	25	 Iye adatinso zinthu zisintha kwambiri dziko lino likadzavomereza malamulo oti aliyense oimira anthu pa milandu azigwira ntchito yaulere kwa ma ola angapo.
SET1/1595017551-186	SOCIAL ISSUES	26	 Ndipo adawonjezeranso kuti afikira ku Ntcheu kuti akaone mmene zinthu ziliri chifukwa maboma ngati amenewo omwe ali kutali ndi mizinda, amaiwalika.
SET1/1595017551-186	SOCIAL ISSUES	27	 Mankhwala owetera nkhunda Mukadzaona khola la nkhunda, pansi pake pamakhala zibalobalo. Ena amadabwa, kodi nzachiyani? Izi akuti ndi mankhwala amene amapangitsa kuti nkhunda zisathawe. Pamene ena amati cholinga chake nchakuti nkhunda ziswane. Kodi zenizeni nziti? BOBBY KABANGO adacheza ndi mfumu Kuziona ya kwa T/A Dambe mboma la Neno yomwe ikufotokoza zambiri motere: Wawa mfumu.
SET1/1595017551-186	SOCIAL ISSUES	28	 Fikani ndithu.
SET1/1595017551-186	SOCIAL ISSUES	29	 Ndadabwa ndi zomwe zili pansi pakhola la nkhundali. Kodi nchiyani? Ndi mlerankhunda kapena kuti mankhwala oimikira nkhunda kuti ana asamafe. Amagwira ntchito zambiri pa nkhunda.
SET1/1595017551-186	SOCIAL ISSUES	30	 Ndi zipatso zanji? Dzina lake sindidziwa koma madera ena amangoti sopo wa mtchire chifukwa ena amachapira akasowa sopo.
SET1/1595017551-186	SOCIAL ISSUES	31	 Chifukwa chiyani mwamangirira zimenezi? Pali zifukwa zambiri, koma nkhani yaikulu ndikufuna kuti nkhundazi ziziswa ndipo kuti anawo asamafe.
SET1/1595017551-186	SOCIAL ISSUES	32	 Zichulukana bwanji oti nkhunda imaikira mazira awiri okha? Sitifuna kuti nkhunda izitenga nthawi ikhale yaikira kale ena. Inde amakhala mazira awiri omwewo koma timafuna izichita changu komanso asamafe.
SET1/1595017551-186	SOCIAL ISSUES	33	 Kutanthauza kuti kupanda kumanga sizingaswe? Zimaswa koma amangofa. Pamene ndamangirira zimenezi ndiye kuti sangafe ndipo azibadwa awiri awiri chifukwa choti ndamangiriranso zipatso ziwiri.
SET1/1595017551-186	SOCIAL ISSUES	34	 Chingachitike nchiyani mutamangirira chipatso chimodzi? Ndiye kuti atha kumabadwa mwana mmodzi. Ikaswa awiri winayo atha kufa ndipo mmodzi ndiye atsale.
SET1/1595017551-186	SOCIAL ISSUES	35	 Zimachitika chonchi chifukwa chiyani? Apo inenso sindidziwa koma mwina ndimo Mulungu adazipangira kuti zizitero.
SET1/1595017551-186	SOCIAL ISSUES	36	 Mukukhulupirira bwanji oti simukudziwa? Makolo anga akhala akugwiritsira ntchito zipatsozi pakhola la nkhunda. Ndimaona chomwe chimachitika tikati tachotsa ndiye zifukwa zokhulupirira zipatsozi zikukwanira.
SET1/1595017551-186	SOCIAL ISSUES	37	 Taonapo alimi ali ndi nkhunda zambiri koma sagwiritsira ntchito mankhwala, inu simukungodzinyenga apa? Nawonso ali ndi podalira, atha kukunamizani kuti sagwiritsa ntchito mankhwala pamene akudziwa pamene akudalira. Afufuzeni.
SET1/1595017551-186	SOCIAL ISSUES	38	 Mukachotsa chimachitika nchiyani? Kungochotsa mudabwa zikaswa ana amangofa.
SET1/1595017551-186	SOCIAL ISSUES	39	 Mumamangirira bwanji zipatsozi? Choyamba mukamanga khola, kayanganeni zipatsozi ndipo mumangirire. Mutha kumangirira pamene mwangomanga khola kapena nkhundazo zikangolowa kumene mkholamo.
SET1/1595017551-186	SOCIAL ISSUES	40	 Mumakazipeza kuti? Zimakonda kumera mumtsinje, mutasakasaka muzipeza.
SET1/1595017551-186	SOCIAL ISSUES	41	 Mukamangirira sichimafota? Chimafota koma musachotse chifukwa mphamvu yake imagwirabe ntchito. Ngati mwachotsa ndiye pezani zina mubwezeretsepo.
SET1/1595017551-186	SOCIAL ISSUES	42	 Kodi mwana atangothothola mungatani? Ndimulanga ndipo ndiyesetsa kuti tsiku lisadutse ndikayangane china.
