Title,Text
Matokeo ya uchaguzi yaanza kutangazwa Tanzania,"Kubandikwa kwa matokeo hayo kunafanywa baada ya kazi ya kujumulisha matokeo ya kura na hatimaye kusainiwa na pande zote ikiwemo maafisa wa tume hiyo pamoja na mawakala wa vyama vya siasa. 

Baadhi ya vituo vya kupigia kura vimeanza kuweka hadharani baadhi ya matokeo ya uchaguzi uliofanyika Jumatano, Tanzania, ambao ni wa sita kufanyika tangu taifa hilo lilipoanzisha mfumo wa vyama vingi vya siasa mwaka 1992. 
 Kubandikwa kwa matokeo hayo kunafanywa baada ya kazi ya kujumulisha matokeo ya kura na hatimaye kusainiwa na pande zote ikiwemo maafisa wa tume hiyo pamoja na mawakala wa vyama vya siasa. 
 Ingawa kumekuwa na ishara kwa baadhi ya wafuasi wa vyama kushangilia lakini matokeo ya mwisho ikiwemo yale ya udiwani na ubunge huenda yakaanza kujulikana kuanzia Alhamisi mchana au jioni. 
 Matokeo ya udiwani yatawasilishwa katika ofisi za watendaji wa kata wakati yale ya ubunge na urais yatapelekwa katika ofisi za wakurugenzi ambao ndiyo wenye jukumu la kutoa matokeo ya mwisho ya wabunge wakati yale ya urais hupelekwa moja kwa moja katika ofisi ya tume ya taifa ya uchaguzi. 
 Mwenyekiti wa Tume ya Taifa ya Uchaguzi (NEC), Jaji Mstaafu, Semistocles Kaijage amesema kwamba kata nne zilishindwa kufanya uchaguzi wa ngazi ya madiwani kutokana na sababu kuu mbili. 
 Mosi kata tatu hazikufanya uchaguzi huu baada ya wagombea wake kufariki dunia huku kata moja uchaguzi huo imebidi uahirishwe baada ya kukosewa kwa karatasi za kupigia kura. 
 Mwenyekiti huyo amesema kata hizo zitafanya uchaguzi wake katika muda utakaotangazwa hapo baadaye. 
 “Hata hivyo tukumbuke kuwa katika kata hizo, uchaguzi wa wabunge umeendelea kama ulivyopangwa,” amesema Kaijage. 
 Kumekuwa na ripoti kuhusu kuwepo kwa baadhi ya kura bandia katika baadhi ya vituo na nyingi ya ripoti hizo zinasema kura hizo zilikamatwa katika jimbo la Kawe jijini Dar es salaam, Pangani, Tanga na Buhigwe huko Kigoma. 
 Hata hivyo, mwenyekiti huyo wa tume amesema ripoti hizo hajabainisha bayana ni vituo gani ambako kura hizo zilikamatwa na wala tume haijathibitisha kuhusu madai hayo akisema kwamba “Taarifa za madai hayo hazijawasilishwa rasmi kwenye tume ya taifa ya uchaguzi. Tume inawasihi wananchi kupuuza taarifa hizo ambazo sio rasmi na hazijathibitishwa.” 
 Katika tukio hilohilo la kuwepo kwa kura bandia, mgombea ubunge wa Chadema katika jimbo la Kawe, Halima Mdee ameachiwa na jeshi la polisi baada ya kushikiliwa kwa muda kutokana na tafrani iliyojitokeza kuhusiana na suala hilo. 
 Wafuasi wa chama hicho waliokuwepo katika moja ya kituo cha kupigia kura walidai kuwa baadhi ya watu wakiwa na kura hizo hali iliyosababisha kuwepo vuta nikuvute. 
 Kwa upande mwingine kuendelea kuminywa kwa mitandao ya mawasiliano kama vile internet iliyopungua kasi kumesababisha kilio kikubwa kwa mamia ya wananchi wanaosema wanashangazwa na kitendo hicho wanachodai kinajitokeza kwa mara ya kwanza katika historia ya kurejea kwa uchaguzi wa mfumo wa vyama vingi tangu mwaka 1995. 
 “Kwa kweli hatujatendewa haki. Kwa sababu mitandao yote kuanzia twitter, Instagram na whatsapp haifanyi kazi. Sisi mitandao tunaitumia sio kwa kupiga kura tu. Wengine tunaitumia kufanya biashara. Imetuumiza sana. huwa tunasikia yanatokea sehemu nyingine na sisi yametukuta.” Amesema mkaazi wa Dar-es-salaam. 
 Kumekuwa na shida ya kupata mawasiliano ya internet huku baadhi ya huduma kama whatsapp, you tube, twiter na mitandao mingine ikisitishwa kabisa. Hii ni mara ya kwanza kwa hali kama hiyo kushuhudiwa nchini Tanzania. 
 Imetayarishwa na mwandishi wetu wa Dar-es-salaam, George Njogopa."
Mwanasheria Mkuu Marekani atetea hatua ya kutumia maafisa wa usalama wa serikali kuu kuzima ghasia,"Mwanasheria mkuu wa Marekani William Barr, Jumanne alitetea kwa shauku kubwa hatua ya utawala wa Rais Donald Trump ya kuwatuma mamia ya maafisa wa serikali kuu wa kulinda usalama, kwenda katika mji wa Portland jimbo la Oregon, na kwingineko,  kutuliza ghasia wakati wa maandamano.  

Akizungumza mjjini Washington DC mbele ya kamati ya baraza la wawakilishi kuhusu masuala ya sheria mjini Washington, Barr alisema maandamano yanayoendelea kwa sasa hayana uhusiano wowote na kifo cha Mmarekani mweusi, George Floyd, kilichotokea kwenye mji wa Minneapolis, jimbo la Minnesota, mnamo mwezi Mei mwaka huu. 
 Wakati wa kikao hicho ambacho kiligubikwa majibizano yenye cheche za maneno, wabunge wa mrengo wa chama cha Demokratic walimshutumu Barr, kwamba anaminya haki za Wamarekani za kfanya maandamano na kwamba anachukua hatua ambazo zinaunga mkono kampeni ya kuchaguliwa tena kwa Rais Donald Trump mwezi Novemaba mwaka huu. 
 Mwenyekiti wa kamati hiyo Jerrold Nadler, alimshutumu Barr kwa kile alichokiita ""kuwatia hofu Wamarekani kote nchini"" kwa kupeleka maafisa hao kwa miji ambako, viongozi wao hawakutaka wapelekwe. 
 “Ni aibu kubwa kwako,” alisema Nadler. 
 Barr ndiye Mwanasheria Mkuu wa pili kuhudumu katika utawala wa Trump baada ya mwanasheria mkuu wa kwanza Jeff Sessions, kuulizwa na rais huyo ajiuzulu. 
 Barr amekuwa akikabiliwa na shutuma mbalimbali, hususan kutoka kwa Wademokrat, kwamba anatekeleza majukumu yake kulingana na vile Rais Trump anataka, na wala siyo kwa mujibu wa sheria na kwa manufaa ya Wamarekani wote kama inavyostahili."
Facebook kutoondoa ujumbe wa madai COVID-19 ilitengenezwa,"Facebook imesema haitaondoa tena kwenye mtandao wake ujumbe wenye madai Covid-19 ilitengenezwa katika maabara na binadamu.  

Kampuni hiyo imesema kuwa hatua hiyo ni kufuatia uchunguzi unaoendelea kuhusiana na kiini cha ugonjwa wa Corona na kwamba imechukuliwa baada ya kushauriana na wataalam wa afya. 
 Facebook kwa muda sasa imekuwa ikijitahidi kuondoa ujumbe wenye kupotosha kuhusiana na COVID-19 tangu ulipozuka mwaka 2020. 
 Disemba mwaka uliopita kwa mfano, Facebook ilisema kuwa ingeondoa kila ujumbe uliyokuwa ukipotosha kuhusiana na chanjo za Corona.  
 Hivi karibuni Rais wa Marekani Joe Biden aliamuru uchunguzi ufanywe ili kubaini chanzo cha virusi vya corona ikiwemo uwezekano kuwa virusi hivyo vilitengenezewa kwenye maabara ya China. 
 Sasa Facebook imesema kuwa haitaondoa ujumbe wowote unaodai kuwa virusi hivyo huenda vilitengenezwa wakati ikiendelea kushauriana na wataalam wa afya. 
 Shinikizo linaendelea kote duniani la kubaini iwapo virusi vya corona ni vya kutengenezwa na binadamu."
Mashambulio yaongezeka kati ya Israel na Hamas,"Israel na kundi la Hamas la Palestina zimetumia silaha nzito nzito wakati ghafla mashambulio yyamegeuka kua mabaya Jumatatu usiku kati ya wahasimu wawili wakuu wa Masharki ya Kati, na kusababisha vifo vya watu 28.  

Ghasia zilizoanza kwenye mji wa Jerusalem zimenea sehemu nyingi za Israel na mashambulio ya roketi na makombora kati ya Hamas na jeshi la Israel. 
 Mataifa makuu ya dunia yanatoa wito wa utulivu kurudi tena, huku nchi za Kislamu zikeleza hasira kutokana na kuongezeka kwa ghasia kuwahi kushuhudia kwa miaka kadhaa pale wapiganaji wa Hamas kutoka Ukanda wa Gaza wakifyetua msururu wa roketi, huku taifa la Kiyahudi likishambulia kwa ndege za kijeshi na helikopta. 
 Kwa upaande wa wapalestina, watoto tisa wameuliwa mionngoni mwa watu 26 walouwawakatika Ukanda ulofungwa wa Gaza na watu 125 kujeruhiwa. 
 Kwa upande wa Israel roketi zimewauwa wanawake wawili wa mji wa Ashkelon, kaskazini mwa Gaza ambako wapiganaji wa hamas wamefyetua roketi 100. 
 Waziri mkuu wa Israel Benjamin Netanyahu ameonya Jumanne kwamba Jeshi la Ulinzi la Israel litazidisha hivi sasa mashambulizi yake, ambayo jehsi linasema limesha haribu vituo vya kijeshi na kuwauwa makamanda 17 wa Hamas. 
 Kufikia leo mchana kundi la wanamgambo la Hamas linalotawala kanda ya Gaza limefyetua zaidi ya roketi 300 kuelekea mji wa Jerusalem ambapo waisraeli wanasema asili mia 90 za roketi hizo zimezuiliwa na mfumo wa ulinzi wa makombora maarufu kama Iron Dome. 
 Israel kwa upande wake imejibu kwa kufanya mashambulio 130 ya makombora hadi Gaza na kusababisha uharibifu mkubwa. 
 Netanyahu aonya kufanya mashambulizi zaidi 
 Waziri mkuu wa Israel Benjamini Netanyahu alisema jana usiku kwamba wanashambuliwa kutoka kila pembe na watajibu vikali. 
 Usiku wa leo siku ya Jerusalem, makundi ya kigaidi huko Gaza yamevuka mstari mwekunduna kutushambulia kwa makombora nje yam ji wa Jerusalem. Israel itajibu kwa nguvu zote. Hatuta stahmilia mashambulio kwenye ardhi yetu, kwenye mji mkuu wetu, dhidi ya wananchi na wanajeshi wetu. 
 Roketi na makombora yalipokua yanafyetulwa, Wapalestina walikua wanapambana na maafsa wa usalama kwenye uwanja wa mskiti wa Al Aqsa ambako watu kadhaa walijeruhwa. Maafisa wa Afya mjini Jerusalem wanasema watu kadhaa wamepoteza macho yao baada ya kupigwa na risasi za mpira zinazofyetuliwa na polisi wa Israel. 
 Upande wa pili wa mskiti huo waumini wamekua wakimba na kuomba dua kuunga mkono vita vya wapalestina. 
 Kulikua pia na mabambano katika miji mingine ya Israel ikiwemo Bethlehem pamoja na kituo cha ukaguzi cha Qalandia kati ya mji wa Ukingo wa magharibi wa ramal ana Jerusalem. 
 Kuongezeka kwa ghasia kunaendelea kuzusha wasi wasi kote duniani. Katibu mkuu wa Umoja wa Mataifa Antonio Guterres amesema kupitia msemaji wake Stephane Dujarric kwamba anafutilia kwa makini na kwa wasi wasi kuzorota kwa hali ya usalama huko Mashariki ya kati. 
 wasi wasi unaongezeka kwenye Jumiya ya Kimataifa  
 Viongozi wa nchi za kiarabu wametoa taarifa kulaani uvamizi wa mskiti wa Al Aqsa ulofanywa na maafisa wa usalama wa Israel, pamoja na mashambulizi ya makombora na roketi.. 
 Waziri wa mamabo ya nchi za nje wa Marekani Antony Blinken alipokua anakutana na waziri mwenzake wa Jordan Ayman Safad Jumatatu mchana amesema wana fuatla kwa wasi wasi mkubwa na kwamba ni lazima mashambulzi ya roket na makombora yasitshwe mara moja. 
 “Pande zote zina bidi kuacha mashambulzi, kupunguza mvutano na kuchukua hatua za kurudisha utulivu. Na kwa mara ningine ninasema nina wasi wasi mkubwa kuhusu mashambulizi ya roketi na kila upande uchukuwe hatua kusitsha hali hii.”. 
 Nae msemaji wa White House Jen Psaki anasema utawala wa Biden unafuatilia kwa karibu ghasia zinazoendelea huko Israel. 
 Ghasia zikiendelea maandamano ya kuwaunga mkono wapalestina yanafanyika huko Lebanon, Uturuki, Toronto Canada, Morocco na kwengineko."
Kagame azindua wiki ya kumbukumbu ya mauaji ya kimbari,"Rwanda imeanza wiki ya kumbukumbu ya maombolezo ya mauaji ya kimbari yaliyotokea katika nchi hiyo miaka 27 iliyopita. 

Huu ni mwaka wa pili sasa kumbukumbu za mauaji ya kimbari dhidi ya watutsi wa Rwanda zikifanyika katika hali isiyo ya kawaida kutokana na kuwepo kwa janga la corona. 
 Zoezi limeanza mapema leo ambapo Rais wa Rwanda Paul Kagame amewaasha mshumaa wa matumaini ambapo utawaka kwa siku 100 sawa na muda ambao yalidumu mauaji hayo. 
 Rais Paul Kagame wa Rwanda amesema hakuna wakati hata mmoja ambao nchi yake imeweza kuwa pamoja zaidi ya wakati huu, lakini akasema mafanikio hayo bado yanakumbwa na changamoto kutoka kwa baadhi ya nchi za nje. 
 ""Baadhi ya hawa watu pale walipo wakijaribu kuandaa masomo kwetu sisi, kuhusu jinsi demokrasia inavyoendeshwa na haki za binadamu. Lakini wakati huo huo unakuja wao hao hao wakiwakumbatia wale waliofanya mauaji haya tunayo yakumbuka hii leo. Wanawalinda,wanawasemea na kuwasaidia huku wakisema hawa ndiyo watu wanaotaka kuibadili Rwanda,"" ameeleza Kagame. 
 Kumbukumbu za mauajo haya zimefanyika huku kukiwepo na itikadi za mauaji hayo zinazoendelea kusikika huku na kule ulimwenguni kutoka kwa wale wanaotajwa kama wapinzani wa serikali ya Rwanda lakini ambao serikali inashikilia walihusika kwenye mauaji hayo. Rais akiwazungumzia hao pia na kwa kutumia lugha ya mafumbo amesema 
 Rais Kagame ameongeza kuwa : ""Yaani ni jambo la kuvutia unapowaona mataifa hayohayo yakiwakamata watu hao kwa makosa kwa mfano ya ubakaji au wizi wa pesa waliofanya katika nchi hizo zilizowakumbatia na wanapofikishwa mahakamani bado utazisikia sauti zinazosema, imesababishwa na maagenti wa Kagame, hivi ni kwa jinsi gani unaweza kwenda kwenye nchi ya kigeni na kumlazimisha mtu kulifanya kosa la ubakaji au kosa la wizi? Lakini unakuta haya yote tunakuwa tumeyasema mapema bila kusikilizwa kwa sababu za kimaslahi."" 
 Rais Paul Kagame amesema ukweli kwamba bado kuna miili ya waathirika wa mauaji inayoendelea kuokotwa hapa na pale miaka 27 iliyopita ni ishara nyingine, huku akisema serikali yake na wananchi kwa ujumla hawatakubali kufumba macho wakati waliofanya hayo wakiendelea kubeza kutokea kwa mauaji hayo. 
  Awali ilizoeleka watu kukusanyika katika maeneo mbalimbali lakini safari hii hilo halikuwepo kutokana na kupambana na maambukizi ya virus vya corona. Rais Kagame amesema kwamba hali hii imesababisha machungu zaidi kwa manusura lakini akawapa matumaini kwamba huenda ikaisha. 
 Rwanda inaendelea kutoa chanjo ya corona kwa wananchi wote hali ambayo kwa kiasi fulani imeleta matumaini miongoni mwa wananchi.Kumbukumbu zilizoanza leo zitaendelea kutimia siku mia moja muda ambao mauaji hayo yaliyoua zaidi ya watu milioni moja yalidumu."
Wademocratic wanaendelea na mchakato wa mashtaka dhidi ya Trump,"Waendesha mashtaka wa-Democratic walishtaki maneno na vitendo vya Trump kabla ya shambulizi yalipelekea wafuasi wake kushambulia jengo la bunge wengine wakiwa na silaha wakijaribu kuzuia utaratibu wa uthibitisho wa ushindi wa uchaguzi kwa M-Democratic Joe Biden dhidi ya Trump 

Mameneja kutoka chama cha Democratic wanaoshughulikia suala la kufunguliwa mashtaka, pamoja na mawakili wa Donald Trump, Jumanne wameelezea hoja zao katika mukhtasari tofauti kabla ya kupelekwa mbele ya baraza la seneti ili kusikiliza kesi ya Rais wa zamani Marekani Donald Trump wiki ijayo juu ya mashtaka ya kuchochea vurugu kwenye jengo la bunge la Marekani hapo Januari 6. 
 Waendesha mashtaka wa-Democratic walishtaki kwamba maneno na vitendo vya Trump kabla ya kufanyika shambulizi hilo yalipelekea wafuasi wake kushambulia jengo la bunge wengine wakiwa na silaha wakijaribu kuzuia utaratibu wa uthibitisho wa ushindi wa uchaguzi kwa M-Democratic Joe Biden dhidi ya Trump. 
 Vurugu hizo zilisababisha vifo vya watu watano akiwemo ofisa polisi wa bunge na darzeni nyingine ya watu walijeruhiwa."
Wine aitisha maandamano ya amani Uganda kupinga matokeo ya uchaguzi,"Mwanasiasa wa upinzani nchini Uganda Robert Kyagulanyi maarufu Bobi Wine, Ijumaa aliitisha maandamano ya amani nchini humo kupinga kile amedai kuwa wizi wa kura katika uchaguzi wa wiki iliyopita, uliompa ushindi rais Yoweri Museveni. 

Akizungumza kupitia ukurasa wake wa Youtube kutoka nyumbani kwake anakozuiliwa na wanajeshi wa Uganda UPDF, Bobi Wine alitaka wafuasi wake kujitokeza kwa wingi kote nchini na kuandamana kwa amani, bila kuvunja sheria yoyote, akisema kwamba kwa kufanya hivyo, watakuwa wanadai haki yao ya kikatiba. 
 Amesema kwamba hatakubali kunyamazishwa na polisi ambao wamemtaka kusema wazi kwamba hataitisha maandamano. 
 “Nimesikia polisi wakiniambia kwamba niwaambie watu wangu wasifanye maandamano ndipo waniachilie huru. Hilo sio jukumu langu. Raia wa Uganda wanajua kwamba hawajavunja sheria yoyote.” 
 Bobi wine amesisitiza kwamba alishinda uchaguzi mkuu uliofanyika Januari 14 mwaka huu 2021. 
 Tume ya uchaguzi ilimtangaza rais Museveni kuwa mshindi wa uchaguzi huo kwa asilimia 58.64 ya kura zilizopigwa. Bobi Wine alipata asilimia 34.83. 
 Bobi Wine, amedai kwamba chama chake cha National Unity Platform, kina ushahidi wa kutosha kwamba udanganyifu mkubwa wa kura ulifanyika na kumpa ushindi rais Museveni. 
   
 “Huu uchaguzi ulikuwa na udanganyifu mkubwa kuliko uchaguzi wa mwaka 1980 ambao Museveni alidai ulikuwa na wizi wa kura na kumfanya kuanzisha vita vilivyodumu miaka 5 na kuingia madarakani kupitia mapinduzi. Haya ni madharau makubwa kwa watu waliopoteza maisha wakati Museveni alikuwa anaongoza vita kwa kile alikuwa amedai kwamba aliibiwa kura. Haya ni madharau makubwa kwa demokrasia.” Amesema Bobi Wine. 
 Amesema kwamba anaendelea kushauriana na wanasiasa wengine iwapo anastahili kuwasilisha kesi mahakamani kupinga matokeo hayo. 
 “Tumekuwa tukipata ushauri mbalimbali iwapo tunastahili kwenda mahakamani kupinga matokeo hayo. Tunajua kwamba majaji wote wameteuliwa na Museveni na kuwasilisha kesi mahakamani vile vile ni sawa tu na kuhalalisha ushindi wa Museveni kisheria. Bado tunafikira cha kufanya.” Ameeleza Bobi Wine akiongezea kwamba “Polisi wamechukua baadhi ya ushahidi tuliokuwa tumekusanya walipovamia ofisi zetu na wamekubali kuchukua Ushahidi huo lakini wamekatakaa kurejesha vitu walivyochukua katika ofisi yetu.” 
 Bobi wine, ametaja majina ya wafuasi wake kadhaa wanaozuiliwa na maafisa wa usalama na hadi sasa hawajulikani walipo. Amedai kwamba polisi na wanajeshi wanaendelea kukamata wafuasi wake na maafisa wa chama chake bila kutoa maelezo yoyote. 
 Wanaokamatwa wanachukuliwa kutoka nyumbani kwao, alisema Bobi Wine. 
 Rais Museveni alihutubia taifa baada ya kutangazwa mshindi, na kudai kwamba uchaguzi huo haukuwa na udanganyifu wowote, na ndio wa kwanza wa huru na haki kuwahi kufanyika Uganda. 
 Huduma ya internet ilizimwa wakati wa uchaguzi na matokeo yalipokuwa yakitolewa lakini kurudishwa baadaye. 
 Tangu huduma ya intenet iliporudishwa, video vimekuwa zikisambaa kwenye mitandao ya kijamii zikionyesha ‘polisi na wanajeshi wakihusiaka katika wizi wa kura.’ 
 Imetayarishwa na Kennes Bwire, VOA, Washington DC."
"Upinzani wakataa ushindi wa Ouattara, kuunda serikali ya mpito Ivory Coast","Viongozi wa upinzani nchini Ivory Coast wamesema kwamba wanaunda serikali ya mpito baada ya kususia uchaguzi mkuu uliofanyika jumamosi. 
 Wanasiasa hao walisusia uchaguzi huo baada ya rais Alassane Ouattara kugombea mhula wa tatu madarakani. 
 Hatua ya kutangaza kuunda serikali ya mpito inaongeza mgogoro zaidi baada ya nchi hiyo kuingia katika hali ya wasiwasi mwezi Agosti wakati Ouattara alipotangaza kwamba atagombea mhula mwingine madarakani. 
 Walitaja hatua ya Ouattara kuwa ukiukaji wa katiba na mapinduzi ya uchaguzi katika nchi hiyo ya Afrika magharibi. 
 Wanasiasa wakuu wa upinzani wamekataa matokeo ya uchaguzi yanayoonyesha kwamba rais Ouattara amepata ushindi mkubwa. 
 Imetayarishwa na Kennes Bwire, VOA, Washington DC"
Jaji Amy Coney Barret aapishwa Marekani,"Jaji Barret ameapishwa katika hafla iliyofanyika white house 

Baraza la seneti la marekani limemuidhinisha jaji Amy Coney Barret kwa kura 52 dhidi ya 48 kuwa jaji kwenye mahakama ya juu ya marekani kuchukua nafasi ilioachwa na marehemu jaji Ruth Bader Ginsburg. 
 Ma seneta karibu wote wa chama cha republican wamepiga kura kumuidhinisha jaji Barret. Seneta mrepublican wa jimbo la Maine Susan Collins ameungana na ma seneta wa democrats wote kwa kutomuudhinisha jaji Barret. 
 Jaji Barret ni jaji wa 3 kuteuliwa na rais Donald Trump kwenye mahakama ya juu. Mahakama hiyo sasa itakua na majaji 6 wenye msimamo wa kiconservative na wa tatu wenye msimamo wa kiliberali. 
 Jaji Barret ameapishwa katika hafla iliyofanyika white house. 
 Imetayarishwa na Patrick Nduwimana, VOA, Washington DC"
Marais wa zamani na wa sasa waonyesha nia ya kugombea urais Ivory coast,"Tume ya uchaguzi nchini Ivory Coast imeahidi kuandaa uchaguzi huru na haki  huku chama kinachotawala cha RHDP kikimtaka rais Alassane Ouattara kugombea mhula mwingine madarakani wakati wa uchaguzi wa Oktoba mwaka huu. 

Wapinzani hata hivyo wanasisistiza kwamba Outtara hana haki ya kikatiba kugombea mhula wa tatu madarakani. 
 Hatua hiyo inaonekana kuwa mtihani mkubwa kwa hali ya amani na utulivu ambayo imerejea Ivory Coast, tangu vita vya wenyewe kwa wenyewe vilivyoua watu 3,000 kati ya mwaka 2010 na 2011. 
 Ushindi wa Ouattara, uliokumbwa na utata mwaka 2010, ulisababisha ghasia na umwagikaji wa damu, vyama vya upinzani vikidai kwamba tume ya uchaguzi ilimpendelea Ouattara. 
 Tume ya uchaguzi inasema inapanga kufanya mabadiliko makubwa katika utendakazi wake, na kushirikisha vyama vyote vya kisiasa katika uchaguzi huo. 
 Mwenyekiti wa tume hiyo Ibrahime Coulibaly Kuibert, amesema kwamba “lengo letu la msingi ni kuhakikisha kwamba uchaguzi unaandaliwa kwa njia huru na haki”. 
 Ouattara ameomba mda zaidi kufikiria iwapo atakubali ombi la chama chake kugombea tena urais, akisema kwamba “Sijawahi kukosa kuwaridhisha”. 
 Amesema kwamba atatangaza uamuzi wake kupitia kwa hotuba kwa taifa Agosti 6. 
 Wapinzani wake Ouattara wanasema kwamba katiba inamzuia kugombea urais kwa mhula mwingine tena, lakini Ouattara anasema mihula yake miwili ya kwanza haiwezi kuhesabiwa kwa mujibu wa katiba ya mwaka 2016. 
 Wagombea wengine wa urais ambao wametangaza rasmi nia yao ni aliyekuwa rais wa nchi hiyo kati yam waka 1993 na 1999 Henri Konan Bedie, na ambaye ni kiongozi wa mojawapo ya vyama vikuu vya upinzani nchini Ivory Coast - PDCI. 
 Aliyekuwa rais wa nchi hiyo ambaye alikuwa amekatalia madarakani licha ya kushindwa la Ouattara, na ambaye alifutiwa mashitaka ya uhalifu wa kibinadamu dhidi yake katika mahakama ya ICC Laurent Gbagbo, hajatangaza rasmi iwapo atagombea tena urais kupitia chama chake cha FPI japo ameasilisha maombi ya kutaka kupewa pasipoti ili arejee nchini mwake, hatua inayotajwa kama ya kijitaarisha kugombea urais. 
 -Imetayarishwa na Kennes Bwire, VOA, Washington DC"
