eng	pcm
But he said he had things to do in the city.	But e tok say e get sometin to do for inside di city.
Nigerians knock FG, political actors over killing 	Naija pipo don carry knock give FG, and oda politics pipo concerning di kilin
Nigerians on social media berated the federal government and political actors for his killing.	Naija pipo wey dey for inside social media sef don put hand for ear give federel goment and polical leader dem ova di kilin.
A commentator on the Facebook link of the story published by Daily Trust, Ifeanyi Maduako, while describing Gulak death as distasteful, linked the incident with politics.	One pesin wey comment for di Facebook link wey carry di tori wey Daily Trust publish, Ifeanyi Maduako, as e tok say di death of Gulak dey bitter, kom link am with politics.
This killing is very distasteful to me.	Di kilin bitter for my mouth welwel.
It appears political and those behind it should be unraveled.	E be like say na politiks dem take am do, and di pipo wey do, make we open dem face.
The killing will expose those behind the current insecurity in Imo State.	Di killin go expose pipo wey behind di security wahala for Imo state.
Who invited him and why killing a northerner in Imo State?	Na who invite am kom, and why dem go kill northerner for Imo state.
I am very afraid what fate awaits innocent Imo State people in the coming days in the hands of northern controlled security agencies, he wrote.	I dey fear wetin go do innocent Imo pipo in some days for di hand of security people wey north dey control, na so he write am.
Another commentator on the thread, Oloruntobi Micheal Omo, noted:  The police report proves that this killing is political and hence calls for an in-depth investigation.	Another pesin wey comment for di thread, Olurombi Micheal Omo, tok say as police report don prove say na political kilin, say dem suppose investigate am welwel.
Police I guess have some questions to answer.	E dey thingk say police pipo sef get question to nswer to.
On his part, Comr Umar Hassan Ahmad wrote, The soul of our innocent people is more important than this scam which is called Nigeria unity.	For im own part, Comr Hassan Ahmad write say di soul of innocent pipo dey important pass di scam wey dem dey call Unity for naija.
This illiteracy will not be acceptable to us, enough is enough we are peacemakers	We no go gree dis illiteracy, enof is enof, na peacemaker we be
but those are pushing us to the wall that this peacemaking can no longer be sustained.	but doe wey dey push us go meet wall dey see say we no fit kontinu wit di peace
I am warning our retaliation will be worst.	I dey send warning, we go retaliate and e go worst.
Buhari you failed us woefully, am urging Imo police to confront the culprit	Buhari you don fail us woefully, and we face di Imo police pipo to follow di jaguda pipo.
Nasiru Inuwa wrote, A wake up call to the northern elites, they've started with the innocent Fulani herders & now turned to northern govt officials & prominent politicians	Nasiru Inuwa sef write say na wake up call to di big pipo wey dey for north, dem begin wit innocent Fulani herders, now dem don turn to northern goment officials, plus prominent politicians.
The outlawed IPOB, in a statement by its secretary, Emma Powerful, faulted reports linking it to the murder of Gulak, noting that the assassination of politicians is not part of its agenda.	Emma Powerful wey be secretary for IPOB joinbodi wey government no support, don tok for statement say make dem no link IPOB to di murder of Gulak. E tok say to kill politician dem no dey di agenda of di joinbodi
We, therefore, state without equivocations that IPOB knows nothing about the said assassination.	So, we tok am say IPOB no sabi anytin about di killin wey apun.
In the first place, what threat did the late Gulak constitute to our cause to warrant his elimination?	To beging with sef, how Gulak dey take threatin awa mission wey don warrant make we kill am.
We had nothing in common with him and could not have in any way killed him.	We no get anytin with am, and we no for don kill am.
