undiacritized	diacritized
Abẹrẹ to lokun niwa, a kii jale, a kii ṣ̣e gbọmọ-gbọmọ *Onifaaji taa jẹ ni wọn ṣe n pe wa lọkọ aṣẹwo  Aarẹ ẹgbẹ onitaksi	Abẹ́rẹ́ tó lókùn niwá, a kìí jalè, a kìí ṣ̣e gbọ́mọ-gbọ́mọ *Onífàájì taa jẹ́ ni wọ́n ṣe ń pè wá lọ́kọ aṣẹ́wó – Ààrẹ ẹgbẹ́ onítaksí
Ọtunba Taiwo Ọmọlekan Ajadi ni Aarẹ ẹgbẹ awọn awakọ taksi nipinlẹ Eko, wọn ti ba OLUWATOYIN MATHNUEL sọrọ nipa awọn ilepa wọn, atohun ti wọn n reti lọdọ ijọba.	Ọ̀túnba Táíwò Ọmọ́lékan Àjàdí ni Ààrẹ ẹgbẹ́ àwọn awakọ̀ taksí nípínlẹ̀ Èkó, wọ́n ti bá OLÚWATÓYÌN MATHNUEL sọ̀rọ̀ nípa àwọn ìlépa wọn, àtohun tí wọn ń retí lọ́dọ ìjọba.
Ohun ti wọn sọ ree.	Ohun tí wọ́n sọ rèé.
Aṣejere: Ẹ kaasan Alagba, njẹ a le mọ yin?	Àṣejèrè: Ẹ káàsán Alàgbà, ǹjẹ́ a lè mọ̀ yín?
Aarẹ Onitaksi: Bẹẹ ni!	Ààrẹ Onítaksí: Bẹ́ẹ̀ ni!
Orukọ temi ni Ọtunba Taiwo Ọmọlekan Ajadi.	Orúkọ tèmi ni Ọ̀túnba Táíwò Ọmọ́lékan Àjàdí.
Mo jẹ aarẹ ẹgbẹ yii lọgbọnjọ, oṣu karun-un, ọdun yii, nigba ti aarẹ ana; Oloogbe Tajudeen Adetoro jade laye lai pari akoko wọn lori oye aarẹ, lẹyin oṣu mẹsan-an lẹgbẹ ṣe iyansipo idakọnkọ  alailariwo nitori arun Korona to gbode kan yii.	Mo jẹ ààrẹ ẹgbẹ́ yìí lọ́gbọ̀njọ́, oṣù karùn-ún, ọdún yìí, nígbà tí ààrẹ àná; Olóògbé Tajudeen Adétòrò jáde láyé láì parí àkókò wọn lórí oyè ààrẹ, lẹ́yìn oṣù mẹ́sàn-án lẹgbẹ́ ṣe ìyànsípò ìdákọ́ńkọ́  aláìláriwo nítorí àrùn Kòrónà tó gbòde kan yìí.
Aṣejere: Ọdun keloo ree tẹyin ti n wa taksi?	Àṣejèrè: Ọdún kelòó rèé tẹ́yin tí ń wa taksí?
Aarẹ Onitaksi: Lati ọdun 1990, ọgbọn ọdun ree ti mo ti jẹ dẹrẹba awakọ taksi ni Adeṣina Taxi Park, ni Suurulere, ẹnu ẹ ni mo di akọwe ẹgbẹ yii, mo lo ọdun mẹjọ gẹgẹ bi akọwe Suurulere Branch, 2007 ni mo jẹ akapo ẹgbẹ ni olu ileeṣẹ ẹgbẹ wa labẹ Alaaji Tati Useeni ki n too wa di akọwe agba ẹgbẹ fọdun mẹjọ miiran labẹ Alaaji Tajudeen Adetoro, pẹlu gbogbo irinajo mi ninu iṣẹ awakọ taksi yii lawọn ẹgbẹ kuku ro o pe odu ni ohun gbogbo to ni i ṣe pẹlu iṣ̣ẹ awakọ taksi Eko; kii ṣaimo foloko mi, ni wọn ba kuku pa ookan pọ mọ eeji, ni wọn ba lemi nipo aarẹ tọ si, fun oriṣii iriri mi lẹgbẹ.	Ààrẹ Onítaksí: Láti ọdún 1990, ọgbọ̀n ọdún rèé tí mo ti jẹ́ dẹ́rẹ́bà awakọ̀ taksí ní Adéṣínà Taxi Park, ní Sùúrùlérè, ẹnu ẹ̀ ni mo di akọ̀wé ẹgbẹ́ yìí, mo lo ọdún mẹ́jọ gẹ́gẹ́ bí akọ̀wé Sùúrùlérè Branch, 2007 ni mo jẹ akápò ẹgbẹ́ ní olú iléeṣẹ́ ẹgbẹ́ wa lábẹ́ Àlàájì Tati Useeni kí n tóó wá di akọ̀wé àgbà ẹgbẹ́ fọ́dún mẹ́jọ mííràn lábẹ́ Àlàájì Tajudeen Adétòrò, pẹ̀lú gbogbo ìrìnàjò mi nínú iṣẹ́ awakọ̀ taksí yìí làwọn ẹgbẹ́ kúkú rò ó pé òdú ni ohun gbogbo tó ní i ṣe pẹ̀lú iṣ̣ẹ́ awakọ̀ taksí Èkó; kìí ṣàìmò fólóko mi, ni wọ́n bá kúkú pa oókan pọ̀ mọ́ eéjì, ni wọ́n bá lémi nipò ààrẹ tọ́ sí, fún oríṣìí ìrírí mi lẹ́gbẹ́.
Aṣejere: Bi mo ṣe n wo yin, ẹni to kawe daadaa ni yin, bawo ni eto ẹkọ kika yin ṣe lọ?	Àṣejèrè: Bí mo ṣe ń wò yín, ẹni tó kàwé dáadáa ni yín, báwo ni ètò ẹ̀kọ́ kíkà yín ṣe lọ?
